Estado,Municipio,Tipo desierto 2022,Tipo Desierto 2020
Amazonas,Alto Orinoco (La Esmeralda),Desierto,Desierto
Amazonas,Atabapo (San Fernando de Atabapo),Desierto,No desierto
Amazonas,Atures (Puerto Ayacucho),No desierto,Desierto moderado
Amazonas,Autana (Isla Ratón),Desierto,Desierto moderado
Amazonas,Manapiare (San Juan de Manapiare),Desierto,No desierto
Amazonas,Maroa,Desierto,Desierto
Amazonas,Río Negro (San Carlos de Río Negro),Desierto,No desierto
Anzoátegui,Anaco,Desierto Moderado,Desierto
Anzoátegui,Aragua (Aragua de Barcelona),Desierto Moderado,Desierto moderado
Anzoátegui,Bolívar (Barcelona),No desierto,No desierto
Anzoátegui,Bruzual (Clarines),Desierto,Desierto
Anzoátegui,Cajigal (Onoto),Desierto,Desierto
Anzoátegui,Diego Bautista Urbaneja (Lechería),No desierto,Desierto moderado
Anzoátegui,Freites (Cantaura),Desierto Moderado,No desierto
Anzoátegui,Guanipa (San José de Guanipa),Desierto Moderado,Desierto moderado
Anzoátegui,Guanta (Guanta),No desierto,Desierto moderado
Anzoátegui,Independencia (Soledad),Desierto,Desierto moderado
Anzoátegui,Libertad (San Mateo),Desierto,Desierto
Anzoátegui,McGregor (El Chaparro),Desierto,Desierto moderado
Anzoátegui,Miranda (Pariaguán),Sin información,No desierto
Anzoátegui,Monagas (San Diego de Cabrutica),Desierto,No desierto
Anzoátegui,Municipio Carvajal (Valle de Guanape),Desierto,Desierto
Anzoátegui,Peñalver (Puerto Píritu),Desierto Moderado,Desierto
Anzoátegui,Píritu (Anzoátegui),Desierto Moderado,Desierto moderado
Anzoátegui,San Juan de Capistrano (Boca de Uchire),Desierto Moderado,Desierto
Anzoátegui,Santa Ana (Santa Ana),Desierto,Desierto
Anzoátegui,Simón Rodriguez (El Tigre),No desierto,Desierto moderado
Anzoátegui,Sotillo (Puerto La Cruz),No desierto,Desierto moderado
Apure,Achaguas (Achaguas),Desierto Moderado,Desierto moderado
Apure,Biruaca (Biruaca),Desierto,Desierto
Apure,Muñoz (Bruzual),Desierto,Desierto
Apure,Páez (Guasdualito),Desierto,Desierto moderado
Apure,Pedro Camejo (San Juan de Payara),Desierto,Desierto moderado
Apure,Rómulo Gallegos (Elorza),Desierto,Desierto
Apure,San Fernando (San Fernando de Apure),No desierto,Desierto moderado
Aragua,Bolívar (San Mateo),Desierto,Desierto moderado
Aragua,Camatagua,Desierto,Desierto
Aragua,Francisco Linares Alcántara (Santa Rita),Desierto,Desierto
Aragua,Girardot (Maracay),No desierto,No desierto
Aragua,José Ángel Lamas (Santa Cruz),Desierto Moderado,Desierto moderado
Aragua,José Félix Ribas (La Victoria),No desierto,Desierto moderado
Aragua,José Rafael Revenga (El Consejo),Desierto Moderado,Desierto
Aragua,Libertador (Palo Negro),Desierto Moderado,Desierto
Aragua,Mario Briceño Iragorry (El Limón),Desierto Moderado,Desierto
Aragua,Ocumare de la Costa de Oro (Ocumare de la Costa),Desierto,Desierto
Aragua,San Casimiro (San Casimiro),Desierto,Desierto moderado
Aragua,San Sebastián (San Sebastián de los Reyes),Desierto,Desierto moderado
Aragua,Santiago Mariño (Turmero),Desierto Moderado,Desierto
Aragua,Santos Michelena (Las Tejerías),Desierto Moderado,Desierto
Aragua,Sucre (Cagua),Desierto Moderado,Desierto moderado
Aragua,Tovar (Colonia Tovar),Desierto Moderado,No desierto
Aragua,Urdaneta (Barbacoas),Desierto,Desierto
Aragua,Zamora (Villa de Cura),Desierto,Desierto moderado
Barinas,Alberto Arvelo Torrealba (Sabaneta),No desierto,Desierto moderado
Barinas,Andrés Eloy Blanco (El Cantón),Desierto Moderado,Desierto moderado
Barinas,Antonio José de Sucre (Socopó),No desierto,Desierto moderado
Barinas,Arismendi,Desierto,Desierto
Barinas,Barinas,No desierto,No desierto
Barinas,Bolívar (Barinitas),No desierto,No desierto
Barinas,Cruz Paredes (Barrancas),No desierto,Desierto moderado
Barinas,Ezequiel Zamora (Santa Bárbara),No desierto,No desierto
Barinas,Obispos (Obispos),No desierto,Desierto moderado
Barinas,Pedraza (Ciudad Bolivia),No desierto,No desierto
Barinas,Rojas (Libertad),No desierto,Desierto moderado
Barinas,Sosa (Ciudad de Nutrias),No desierto,Desierto moderado
Bolívar,Angostura (Ciudad Piar),Desierto Moderado,Desierto
Bolívar,Cedeño (Caicara del Orinoco),Desierto,Desierto moderado
Bolívar,El Callao,No desierto,No desierto
Bolívar,Gran Sabana (Santa Elena de Uairén),Desierto Moderado,No desierto
Bolívar,Heres (Ciudad Bolívar),No desierto,No desierto
Bolívar,Municipio Caroní (Ciudad Guayana),No desierto,No desierto
Bolívar,Padre Pedro Chen (El Palmar),Desierto Moderado,No desierto
Bolívar,Piar (Upata),No desierto,No desierto
Bolívar,Roscio (Guasipati),Desierto Moderado,No desierto
Bolívar,Sifontes (Tumeremo),No desierto,No desierto
Bolívar,Sucre (Maripa),Desierto Moderado,Sin información
Carabobo,Bejuma,No desierto,No desierto
Carabobo,Carlos Arvelo (Güigüe),Desierto,Desierto moderado
Carabobo,Diego Ibarra (Mariara),Desierto Moderado,Desierto
Carabobo,Guacara,No desierto,No desierto
Carabobo,Juan José Mora (Morón),No desierto,Desierto moderado
Carabobo,Libertador (Tocuyito),No desierto,Desierto
Carabobo,Los Guayos,No desierto,Sin información
Carabobo,Miranda,No desierto,Desierto moderado
Carabobo,Montalbán,No desierto,No desierto
Carabobo,Naguanagua,No desierto,No desierto
Carabobo,Puerto Cabello,No desierto,Desierto moderado
Carabobo,San Diego,No desierto,No desierto
Carabobo,San Joaquín,Desierto Moderado,No desierto
Carabobo,Valencia,No desierto,No desierto
Cojedes,Anzoátegui (Cojedes),Desierto,No desierto
Cojedes,Ezequiel Zamora,No desierto,Desierto
Cojedes,Falcón (Tinaquillo),Desierto,Desierto
Cojedes,Girardot (El Baúl),Desierto,Desierto
Cojedes,Lima Blanco (Macapo),Desierto,Desierto moderado
Cojedes,Pao de San Juan Bautista (El Pao),Desierto,Desierto
Cojedes,Ricaurte (Libertad),Desierto,Desierto moderado
Cojedes,Rómulo Gallegos,Desierto Moderado,Desierto
Cojedes,Tinaco,Desierto,Desierto
Delta Amacuro,Tucupita,Desierto Moderado,Desierto moderado
Delta Amacuro,Antonio Díaz Curiapo (Curiapo),Desierto,No desierto
Delta Amacuro,Casacoima (Sierra Imataca),Desierto,Desierto moderado
Delta Amacuro,Pedernales,Desierto,Desierto
Distrito capital,Parroquia 23 de enero,Desierto Moderado,Sin información
Distrito capital,Parroquia Altagracia,Desierto Moderado,Sin información
Distrito capital,Parroquia Antímano,Desierto Moderado,Sin información
Distrito capital,Parroquia Candelaria,Desierto Moderado,Sin información
Distrito capital,Parroquia Caricuao,Desierto Moderado,Sin información
Distrito capital,Parroquia Catedral,No desierto,Sin información
Distrito capital,Parroquia Coche,Desierto Moderado,Sin información
Distrito capital,Parroquia El Junquito,Desierto Moderado,Sin información
Distrito capital,Parroquia El Paraíso,Desierto Moderado,Sin información
Distrito capital,Parroquia El Recreo,Desierto Moderado,Sin información
Distrito capital,Parroquia El Valle,Desierto Moderado,Sin información
Distrito capital,Parroquia La Pastora,Desierto Moderado,Sin información
Distrito capital,Parroquia La Vega,Desierto Moderado,Sin información
Distrito capital,Parroquia Macarao,Desierto Moderado,Sin información
Distrito capital,Parroquia San Agustín,Desierto Moderado,Sin información
Distrito capital,Parroquia San Bernardino,Desierto Moderado,Sin información
Distrito capital,Parroquia San José,Desierto Moderado,Sin información
Distrito capital,Parroquia San Juan,Desierto Moderado,Sin información
Distrito capital,Parroquia San Pedro,Desierto Moderado,Sin información
Distrito capital,Parroquia Santa Rosalía,Desierto Moderado,Sin información
Distrito capital,Parroquia Santa Teresa,Desierto Moderado,Sin información
Distrito capital,Parroquia Sucre,Desierto Moderado,Sin información
Falcón,Acosta (San Juan de los Cayos),No desierto,No desierto
Falcón,Bolívar (San Luis),Desierto Moderado,Desierto moderado
Falcón,Buchivacoa (Capatárida),Desierto Moderado,Desierto
Falcón,Cacique Manaure (Yaracal),No desierto,No desierto
Falcón,Carirubana (Punto Fijo),No desierto,No desierto
Falcón,Colina (La Vela de Coro),No desierto,No desierto
Falcón,Dabajuro (Dabajuro),No desierto,No desierto
Falcón,Democracia (Pedregal),No desierto,No desierto
Falcón,Falcón (Pueblo Nuevo),No desierto,No desierto
Falcón,Federación (Churuguara),Desierto Moderado,No desierto
Falcón,Jacura,Desierto Moderado,Desierto moderado
Falcón,Los Taques (Santa Cruz de Los Taques),No desierto,No desierto
Falcón,Mauroa (Mene de Mauroa),Desierto Moderado,No desierto
Falcón,Miranda (Santa Ana de Coro),No desierto,No desierto
Falcón,Monseñor Iturriza (Chichiriviche),No desierto,No desierto
Falcón,Palmasola (Palmasola),No desierto,Sin información
Falcón,Petit (Cabure),Desierto Moderado,No desierto
Falcón,Píritu (Falcón),Desierto Moderado,No desierto
Falcón,San Francisco (Mirimire),Desierto Moderado,No desierto
Falcón,Silva (Tucacas),No desierto,No desierto
Falcón,Sucre (La Cruz de Taratara),Desierto Moderado,No desierto
Falcón,Tocópero,No desierto,No desierto
Falcón,Unión (Santa Cruz de Bucaral),Desierto Moderado,No desierto
Falcón,Urumaco,Desierto Moderado,No desierto
Falcón,Zamora (Puerto Cumarebo),No desierto,No desierto
Guárico,Ortíz,Desierto Moderado,No desierto
Guárico,Chaguaramas,No desierto,Desierto moderado
Guárico,El Socorro,No desierto,Desierto moderado
Guárico,Esteros de Camaguan,Desierto,Desierto moderado
Guárico,Francisco de Miranda (Calabozo),Desierto Moderado,Desierto moderado
Guárico,José Félix Ribas (Tucupido),No desierto,Desierto moderado
Guárico,José Tadeo Monagas (Altagracia de Orituco),Desierto Moderado,Desierto moderado
Guárico,Juan Germán Roscio (San Juan de Los Morros),No desierto,Desierto moderado
Guárico,Julián Mellado (El Sombrero),Desierto Moderado,No desierto
Guárico,Las Mercedes,No desierto,Desierto moderado
Guárico,Leonardo Infante (Valle de La Pascua),No desierto,Desierto moderado
Guárico,Pedro Zaraza (Zaraza),No desierto,Desierto moderado
Guárico,San Gerónimo de Guayabal (Guayabal),Desierto Moderado,Desierto moderado
Guárico,San José de Guaribe,No desierto,Desierto moderado
Guárico,Santa María de Ipire,No desierto,Desierto moderado
Lara,Andrés Eloy Blanco (Sanare),Desierto,No desierto
Lara,Crespo (Duaca),Desierto Moderado,Desierto
Lara,Iribarren (Barquisimeto),No desierto,No desierto
Lara,Jiménez (Quibor),Desierto,Desierto
Lara,Morán (El Tocuyo),Desierto,No desierto
Lara,Palavecino (Cabudare),No desierto,No desierto
Lara,Simón Planas (Sarare),Desierto,Desierto moderado
Lara,Torres (Carora),Desierto Moderado,Desierto moderado
Lara,Urdaneta (Siquisique),Desierto,No desierto
Mérida,Adriani (El Vigía),No desierto,No desierto
Mérida,Andrés Bello (La Azulita),Desierto Moderado,No desierto
Mérida,Aricagua (Aricagua),Desierto Moderado,Desierto
Mérida,Briceño (Torondoy),Desierto Moderado,Desierto
Mérida,Campo Elías (Ejido),No desierto,Desierto moderado
Mérida,Chacón (Canaguá),Desierto Moderado,Desierto moderado
Mérida,Dávila (Bailadores),No desierto,No desierto
Mérida,Febres Cordero (Nueva Bolivia),Desierto Moderado,No desierto
Mérida,Guaraque (Guaraque),No desierto,Desierto moderado
Mérida,Libertador (Mérida),No desierto,No desierto
Mérida,Marquina (Tabay),No desierto,No desierto
Mérida,Miranda (Timotes),Desierto,Desierto moderado
Mérida,Noguera (Santa María de Caparo),Desierto Moderado,Desierto moderado
Mérida,Parra Olmedo (Tucaní),No desierto,Desierto
Mérida,Pinto Salinas (Santa Cruz de Mora),No desierto,No desierto
Mérida,Pueblo Llano (Pueblo Llano),No desierto,No desierto
Mérida,Quintero (Santo Domingo),No desierto,Desierto
Mérida,Ramos de Lora (Santa Elena de Arenales),Desierto Moderado,Desierto moderado
Mérida,Rangel (Mucuchíes),No desierto,No desierto
Mérida,Salas (Arapuey),Desierto Moderado,Desierto
Mérida,Sucre (Lagunillas),No desierto,No desierto
Mérida,Zea,No desierto,Desierto moderado
Mérida,Tovar,No desierto,No desierto
Miranda,Acevedo (Caucagua),Desierto Moderado,Desierto moderado
Miranda,Andrés Bello (San José de Barlovento),Desierto Moderado,Desierto
Miranda,Baruta,Desierto Moderado,No desierto
Miranda,Brión (Higuerote),Desierto Moderado,No desierto
Miranda,Buroz (Mamporal),Desierto,Desierto
Miranda,Carrizal,No desierto,Desierto moderado
Miranda,Chacao,No desierto,Desierto moderado
Miranda,Cristóbal Rojas (Charallave),No desierto,No desierto
Miranda,El Hatillo,Desierto Moderado,Desierto
Miranda,Guaicaipuro (Los Teques),No desierto,Desierto
Miranda,Independencia (Santa Teresa del Tuy),No desierto,Desierto moderado
Miranda,Lander (Ocumare del Tuy),Desierto Moderado,Desierto moderado
Miranda,Los Salias (San Antonio de los Altos),No desierto,Desierto moderado
Miranda,Páez (Río Chico),Desierto,Desierto
Miranda,Paz Castillo (Santa Lucía),No desierto,No desierto
Miranda,Pedro Gual (Cúpira),Desierto,Sin información
Miranda,Plaza (Guarenas),No desierto,Desierto
Miranda,Simón Bolívar (San Francisco de Yare),Desierto Moderado,Sin información
Miranda,Sucre (Petare),Desierto Moderado,No desierto
Miranda,Urdaneta (Cúa),No desierto,Desierto moderado
Miranda,Zamora (Guatire),No desierto,Desierto moderado
Monagas,Acosta (San Antonio de Capayacuar),Desierto Moderado,Desierto moderado
Monagas,Aguasay,Desierto Moderado,Sin información
Monagas,Bolívar (Caripito),Desierto Moderado,Desierto
Monagas,Caripe,Desierto,Desierto
Monagas,Cedeño (Caicara de Maturín),Desierto Moderado,Desierto moderado
Monagas,Libertador (Temblador),Desierto,Desierto moderado
Monagas,Maturín,No desierto,No desierto
Monagas,Piar (Aragua de Maturín),Desierto,Desierto moderado
Monagas,Punceres (Quiriquire),Desierto Moderado,No desierto
Monagas,Santa Bárbara,Desierto Moderado,Desierto moderado
Monagas,Sotillo (Barrancas del Orinoco),Desierto,Desierto moderado
Monagas,Uracoa,Desierto,Desierto
Monagas,Zamora (Punta de Mata),Desierto Moderado,Desierto moderado
Nueva Esparta,Antolín del Campo (La Plaza de Paraguachí),Desierto Moderado,No desierto
Nueva Esparta,Arismendi (La Asunción),No desierto,No desierto
Nueva Esparta,Díaz (San Juan Bautista),Desierto Moderado,Desierto moderado
Nueva Esparta,García (El Valle del Espíritu Santo),Desierto,No desierto
Nueva Esparta,Gómez (Santa Ana),Desierto Moderado,Desierto
Nueva Esparta,Maneiro (Pampatar),No desierto,No desierto
Nueva Esparta,Marcano (Juan Griego),Desierto Moderado,Desierto moderado
Nueva Esparta,Mariño (Porlamar),No desierto,Desierto
Nueva Esparta,Península de Macanao (Boca de Río),Desierto Moderado,Desierto moderado
Nueva Esparta,Tubores (Punta de Piedras),Desierto Moderado,Sin información
Nueva Esparta,Villalba (San Pedro de Coche),Desierto Moderado,Desierto moderado
Portuguesa,Agua Blanca,Desierto Moderado,Desierto
Portuguesa,Araure,No desierto,Desierto moderado
Portuguesa,Esteller (Píritu),Desierto Moderado,No desierto
Portuguesa,Guanare,No desierto,Desierto moderado
Portuguesa,Guanarito,Desierto,Desierto moderado
Portuguesa,Monseñor José Vicenti de Unda (Chabasquén de Unda),Desierto,Desierto moderado
Portuguesa,Ospino,Desierto,Desierto
Portuguesa,Páez (Acarigua),No desierto,No desierto
Portuguesa,Papelón,Desierto Moderado,Desierto
Portuguesa,San Genaro de Boconoíto (Boconoíto),Desierto,Desierto moderado
Portuguesa,San Rafael de Onoto,Desierto Moderado,Desierto
Portuguesa,Santa Rosalía (El Playón),Desierto Moderado,Desierto
Portuguesa,Sucre (Biscucuy),Desierto,Desierto moderado
Portuguesa,Turén (Villa Bruzual),Desierto,Desierto moderado
Sucre,Andrés Eloy Blanco (Casanay),Desierto,Desierto moderado
Sucre,Andrés Mata (San José de Aerocuar),Desierto,Desierto moderado
Sucre,Arismendi (Río Caribe),Desierto,Desierto moderado
Sucre,Benítez (El Pilar),Desierto,Desierto moderado
Sucre,Bermúdez (Carúpano),Desierto,No desierto
Sucre,Bolívar (Marigüitar),Desierto,Desierto
Sucre,Cajigal (Yaguaraparo),Desierto,Desierto moderado
Sucre,Cruz Salmerón Acosta (Araya),Desierto,Desierto
Sucre,Libertador (Tunapuy),Desierto,Desierto
Sucre,Mariño (Irapa).,Desierto,Desierto moderado
Sucre,Mejía (San Antonio del Golfo),Desierto,Desierto
Sucre,Montes (Cumanacoa),Desierto,Desierto moderado
Sucre,Ribero (Cariaco),Desierto,Desierto moderado
Sucre,Sucre (Cumaná),No desierto,No desierto
Sucre,Valdez (Güiria),Desierto,Desierto
Táchira,Andrés Bello (Cordero),Desierto Moderado,No desierto
Táchira,Antonio Rómulo Costa (Las Mesas),Desierto,Desierto moderado
Táchira,Ayacucho (Colón),Desierto,Desierto
Táchira,Bolívar (San Antonio del Táchira),Desierto,Desierto
Táchira,Cárdenas (Táriba),Desierto Moderado,Desierto moderado
Táchira,Córdoba (Santa Ana de Táchira),Desierto,Desierto moderado
Táchira,Fernández Feo (San Rafael del Piñal),Desierto,No desierto
Táchira,Francisco de Miranda (San José de Bolívar),Desierto,Desierto moderado
Táchira,García de Hevia (La Fría),Desierto,Desierto moderado
Táchira,Guásimos (Palmira),Desierto,Desierto
Táchira,Independencia (Capacho Nuevo),Desierto,Desierto
Táchira,Jáuregui (La Grita),Desierto,Desierto moderado
Táchira,José María Vargas (El Cobre),Desierto,Desierto moderado
Táchira,Junín (Rubio),Desierto,No desierto
Táchira,Libertad (Capacho Viejo),Desierto,Desierto
Táchira,Libertador (Abejales),Desierto,Desierto
Táchira,Lobatera,Desierto Moderado,Desierto
Táchira,Michelena,Desierto Moderado,No desierto
Táchira,Panamericano (Coloncito),Desierto,Desierto moderado
Táchira,Pedro María Ureña (Ureña),Desierto,Desierto moderado
Táchira,Rafael Urdaneta (Delicias),Desierto,Sin información
Táchira,Samuel Dario Maldonado (La Tendida),Desierto,Desierto moderado
Táchira,San Cristóbal,No desierto,No desierto
Táchira,San Judas Tadeo (Umuquena),Desierto,Desierto
Táchira,Seboruco,Desierto,Desierto
Táchira,Simón Rodríguez (San Simon),Desierto,Sin información
Táchira,Sucre (Queniquea),Desierto,Desierto moderado
Táchira,Torbes (San Josecito),Desierto,Desierto
Táchira,Uribante (Pregonero),Desierto,Desierto
Trujillo,Andrés Bello (Santa Isabel),Desierto Moderado,Sin información
Trujillo,Boconó,No desierto,Desierto
Trujillo,Bolívar (Sabana Grande),No desierto,Sin información
Trujillo,Campos Elías,No desierto,Sin información
Trujillo,Candelaria (Chejendé),Desierto Moderado,Sin información
Trujillo,Carache,Desierto,Sin información
Trujillo,Carvajal (Carvajal),No desierto,Desierto moderado
Trujillo,Escuque,Desierto Moderado,Desierto
Trujillo,La Ceiba (Santa Apolonia),Desierto Moderado,Desierto
Trujillo,Márquez Cañizales (El Paradero),Desierto Moderado,Sin información
Trujillo,Miranda (El Dividive),Desierto Moderado,Sin información
Trujillo,Monte Carmelo,Desierto Moderado,Sin información
Trujillo,Motatán,Desierto Moderado,Desierto
Trujillo,Pampán,No desierto,No desierto
Trujillo,Pampanito,No desierto,No desierto
Trujillo,Rangel (Betijoque),Desierto Moderado,No desierto
Trujillo,Sucre (Sabana de Mendoza),Desierto Moderado,Desierto moderado
Trujillo,Trujillo,No desierto,No desierto
Trujillo,Urdaneta (La Quebrada),Desierto Moderado,Desierto
Trujillo,Valera,No desierto,Desierto moderado
Vargas,Parroquia Caraballeda,Desierto Moderado,Sin información
Vargas,Parroquia Carayaca,Desierto,Sin información
Vargas,Parroquia Carlos Soublette,Desierto,Sin información
Vargas,Parroquia Caruao,Desierto,Sin información
Vargas,Parroquia Catia La Mar,Desierto,Sin información
Vargas,Parroquia El Junko,Desierto,Sin información
Vargas,Parroquia La Guaira,Desierto Moderado,Sin información
Vargas,Parroquia Macuto,Desierto Moderado,Sin información
Vargas,Parroquia Maiquetía,Desierto Moderado,Sin información
Vargas,Parroquia Naiguatá,Desierto,Sin información
Vargas,Parroquia Urimare,Desierto,Sin información
Yaracuy,Arístides Bastidas (San Pablo),Desierto Moderado,Desierto moderado
Yaracuy,Bolívar (Aroa),Desierto,No desierto
Yaracuy,Bruzual (Chivacoa),Desierto Moderado,No desierto
Yaracuy,Cocorote,No desierto,Desierto
Yaracuy,Independencia,No desierto,No desierto
Yaracuy,La Trinidad (Boraure),No desierto,Desierto
Yaracuy,Monge (Yumare),Desierto Moderado,Desierto moderado
Yaracuy,Nirgua,Desierto,No desierto
Yaracuy,Páez (Sabana de Parra),Desierto,No desierto
Yaracuy,Peña (Yaritagua),Desierto,No desierto
Yaracuy,San Felipe,No desierto,No desierto
Yaracuy,Sucre (Guama),Desierto Moderado,Desierto
Yaracuy,Urachiche,Desierto,Desierto
Yaracuy,Veroes (Farriar),Desierto,Desierto
Zulia,Baralt (San Timoteo),Desierto,Desierto moderado
Zulia,Bolívar (Tía Juana),Desierto,Desierto
Zulia,Cabimas,Desierto,Desierto moderado
Zulia,Catatumbo (Encontrados),Desierto,Desierto moderado
Zulia,Colón (San Carlos del Zulia),Desierto,Desierto moderado
Zulia,Guajira (Sinamaica),Desierto,Desierto
Zulia,La Cañada de Urdaneta (Concepción),Desierto,Desierto
Zulia,Lagunillas (Ciudad Ojeda),Desierto,Desierto
Zulia,Lossada (La Concepción),Desierto,Desierto
Zulia,Machiques,Desierto,Desierto moderado
Zulia,Mara (San Rafael del Moján),Desierto,Desierto
Zulia,Maracaibo,No desierto,No desierto
Zulia,Miranda (Los Puertos de Altagracia),Desierto,Desierto
Zulia,Padilla (El Toro),Desierto,Desierto moderado
Zulia,Pulgar (Pueblo Nuevo,Desierto,Desierto moderado
Zulia,Rosario (La Villa del Rosario),Desierto,Desierto moderado
Zulia,San Francisco,No desierto,No desierto
Zulia,Santa Rita,Desierto,Desierto moderado
Zulia,Semprún (Casigua El Cubo),Desierto,Desierto moderado
Zulia,Sucre (Bobures),Desierto,No desierto
Zulia,Valmore Rodríguez (Bachaquero),Desierto,Sin información